School Code,School Name,Zip Code
102673,Landmark Elementary,95076
102681,Leona Jackson,90723
102707,Kennedy (John F.) Academy,93618
102715,Estudillo Elementary,92583
102723,"Clayton A. Record, Jr., Eleme",92583
102731,TownGate Elementary,92553
102749,Brookside Elementary,92223
102764,Alonzo Community Day,90028
102772,Cawston Elementary,92545
102780,Diamond Valley Middle,92543
102798,Thomas Jefferson Elementary,95678
102806,Blue Oaks Elementary,95747
102822,Stone Ranch Elementary,92127
102830,Wilmer Amina Carter High,92377
102848,David J. Sanchez Sr. Elementa,93458
102855,Tommie Kunst Junior High,93458
102863,Liberty Elementary,93458
102871,Arnold O. Beckman High,92780
102889,Hicks Canyon Elementary,92780
102897,Melrose Elementary,92870
102905,LPS San Jose,94612
102913,Middle College High,90047
102921,Harbor Teacher Preparation Ac,90744
102939,Etiwanda Colony Elementary,91739
102947,Day Creek Intermediate,91739
102988,EnCompass Academy Elementary,94621
105684,San Elijo Middle,92078
105692,A. L. Conner Elementary,93646
105700,Mary Lou Dieterich Elementary,95350
105718,Traina (Anthony C.) Elem.,95377
105726,Mission Hills High,92069
105734,Great Oak High,92592
105742,Alamos Elementary,92563
105759,Bella Vista Middle,92563
105767,Rio Vista Elementary,92234
105783,Four Creeks Elementary,93291
105791,Dwight D. Eisenhower Elementa,92882
105809,Harada Elementary,92880
105817,Harmony Elementary,95315
105825,Solana Pacific Elementary,92130
105841,Community Day/Alt and Sp Ed,92804
105858,Pajaro Valley High,95076
105866,Woodland Star Charter,95476
105874,Ortega Elementary,94044
105882,Foothill Oak Elementary,92084
105890,Mark West Charter,95403
105908,Hein Elementary,95757
105916,Monterey Trail High,95624
105924,"Edward Harris, Jr. Middle",95624
105932,Herburger Elementary,95624
105940,Alessandro,92553
105957,Liberty Elementary,91914
105965,Salt Creek Elementary,91914
105973,Walter Woodward Elementary,95336
105981,Desert Willow Intetmediate,93550
106005,Village,95008
106013,University Preparatory,96001
106021,Freedom Elementary,93223
106047,Blue Ridge,95667
106062,San Gorgonio Middle,92223
106070,Endeavour Middle,93536
106088,Delta View Elementary,94565
106096,Columbia Elementary,92570
106112,Pinnacles High,93960
106120,SIATech,92056
106153,Eel River Community,95501
106161,Eureka Community,95501
106179,Southern Humboldt Comm.,95501
106195,Humboldt County Office of Edu,95501
106203,Humboldt County Juvenile Hall,95501
106229,Palmiter Special Education,95826
106237,Hickey Junior Senior High,95826
106245,North Area Community,95826
106278,El Centro Jr./Sr. High,95826
106286,Morgan Jr./Sr. High,95826
106294,Sacramento County SH Special,95826
106302,Sacramento County ED Special,95826
106328,Canyon Crest Academy,92024
106336,Frank Ledesma Elementary,93960
106344,Northwest Prep,95403
106351,Ivy Academia,91367
106377,Global Youth Charter High,95843
106385,Diamond Mountain Charter High,96130
106401,Alameda Science and Technolog,94501
106419,Fugman (James S.) Elementary,93720
106427,Synergy Charter Academy,90016
106435,Camino Nuevo Charter High,90026
106443,Twelve Bridges Elementary,95648
106450,Regency Park Elementary,95835
106476,Polk Elementary,93722
106484,Wicklund Elementary,95391
106518,Merced Scholars Charter,95340
106526,Gateway to College,92506
106534,Bullis Charter,94022
106542,Community Day,94619
106559,Oakland Community Day Middle,94619
106567,Nova Academy,92703
106575,Harvest Elementary,93215
106583,Carmen Dragon Elementary,94531
106625,Elk Creek,95531
106633,KIPP Heartwood Academy,95122
106641,Challenger School of Sports &,92395
106666,Bar-O,95531
106674,Frances Ellen Watkins Harper,95618
106690,Shirley Lane Elementary,93307
106716,Hamilton High,92539
106732,High Tech High International,92106
106740,Valley Preparatory Academy,93705
106757,Folsom Cordova K-8 Community,95630
106765,Capistrano Connections Academy,92656
106799,Learning Choice Academy,91941
106807,Alder Creek Middle,96161
106815,Thomas Law Reed Elementary,93654
106823,Lincoln Plus High,95126
106831,Animo Venice Charter High,90015
106849,Animo Pat Brown,90001
106864,Alliance Gertz-Ressler High,90007
106872,Bert Corona Charter,91331
106898,The Language Academy of Sacra,95820
106906,Bay Area Technology,94605
106914,Bellingham Elementary,91606
106948,White (Charles) Elementary,90057
106955,Harmony Elementary,90011
106971,Vista Middle,91402
106989,Southeast Middle,90280
106997,Orthopaedic Hospital,90007
107003,Northridge Academy High,91325
107011,International Studies Learnin,90280
107029,San Diego International Studi,92101
107037,San Diego LEADS,92101
107052,San Diego Business,92101
107060,San Diego MVP Arts,92101
107078,Kearny Digital Media & Design,92111
107086,Kearny SCT,92111
107094,Kearny International Business,92111
107102,Kearny Construction Tech,92111
107110,Six Rivers Charter High,95521
107128,Whitmore Charter School of Ar,95307
107136,Whitmore Charter High,95307
107151,Escuela Popular/Center for Tr,95127
107177,Crawford High,92115
107219,San Diego Science and Technol,92101
107227,Charter Montessori Blue Oak C,95682
107250,Potter Valley Junior High,95469
107268,Trinity Cnty. Home,96093
107284,CAVA@Sonoma,93065
107292,King City Arts,93930
107300,City Arts and Tech High,94112
107318,Twin Rivers Charter,95991
107326,Far East County Programs,94513
107334,Central Cnty. Special Educ.,94507
107342,East Co. Elementary (SE),94509
107359,Hamilton Elementary,92539
107375,Rio Del Oro Elementary,95961
107383,River Delta Community Day,95615
107391,New Republic Elementary,93906
107409,S Ben Benavidez Elementary,93648
107425,George Visual and Performing,92301
107433,Columbia Middle,92301
107441,Vick (Theodore) Elementary,92301
107458,Chavez Elementary,90802
107466,Community/Independent Altern.,92410
107482,San Diego Metro Career and Te,92111
107508,Century Community Charter,90301
107516,Summit Leadership Academy-High,92345
107524,Acalanes CIS,94595
107557,Calavera Hills Middle,92009
107573,High Tech Middle Media Arts,92106
107631,Family Tree Learning Center,92543
107649,Countryside Community Day,93274
107672,Sequoia High,95344
107706,Blue Heron,95457
107714,Tioga Community Day,93517
107722,River Valley High,95993
107730,ASA Charter,92405
107748,Learning in an Urban Communit,95116
107755,Port of Los Angeles High,90731
107763,Renaissance Academy I,95122
107771,Sequoia Elementary,93263
107797,Heritage High,94513
107805,Cypress School of the Arts,92345
107839,Livermore Valley Charter,94550
107862,Reidy Creek Elementary,92026
107870,Bernardo Elementary,92029
107888,Highland Grove Elementary,92346
107912,Helen Keller Elementary,90262
107920,Lakeside High,92530
107938,E Tafoya Alvarado Academy,93638
107946,Lake Canyon Elementary,95632
107961,Franklin (Benjamin) Elementary,92253
107979,Sierra View Elementary,95361
107987,Fairfax Middle,93307
108001,Plumas County Opportunity,95971
108019,Marsh Creek Elementary,94513
108027,Oak Hills Elementary,91381
108035,Park View Elementary,95366
108050,Ruhkala Elementary,95765
108068,Boronda Meadows,93907
108076,Central Valley High,95307
108084,Whitney High,95765
108092,Orange Cove High,93646
108100,Bakman (Molly S.) Elementary,93727
108118,Akira Yokomi Elementary,93701
108126,Sam H. Lawson Middle,95014
108134,La Jolla Elementary,92555
108142,Woods (Harold L.) Elementary,93619
108159,Cesar Chavez High,95212
108167,Adelante Dual Language Academ,95127
108175,Medeiros (Sandra Tovar),95382
108191,Summit High,92336
108209,Ellerth E. Larson Elementary,95242
108217,Manlio Silva Elementary,95219
108225,Ronald E. McNair High,95210
108241,Reagan (Ronald) Elementary,92595
108258,Lakeview Elementary,95762
108266,Golden Hill K-8,92102
108274,Porter Elementary,92113
108282,Cherokee Point Elementary,92105
108290,Ibarra Elementary,92115
108324,Windemere Ranch Middle,94582
108332,Oak Valley Middle,92127
108340,Lake County International Cha,95461
108357,George Kelly Elementary,95376
108365,Segerstrom High,92704
108373,Esqueda (Manuel) Elementary,92707
108381,Thurgood Marshall Elementary,90262
108399,Cesar Chavez Middle,90262
108407,Eastside High,93535
108415,Heritage Peak Charter,95673
108423,Vanguard Preparatory,92308
108431,Galileo Academy 101,92395
108449,Endeavour Schl of Exploration,92395
108456,Oasis Community Day,95316
108464,Carrillo Ranch Elementary,92201
108480,Crowne Hill Elementary,92592
108498,La Vorgna (Susan) Elementary,92596
108506,Tobin (Tony) Elementary,92592
108514,Foskett Ranch Elementary,95648
108522,Cappy Culver Elementary,93446
108530,Antelope Hills Elementary,92562
108548,Iftin Charter,92115
108555,Design Science Early College,93703
108563,EJE Elementary Academy,92020
108589,San Lauren Elementary,93308
108597,Tesoro del Valle,91354
108605,Stone Bridge,94558
108613,Veritas Elementary,95336
108621,Riles (Wilson C.) Middle,95747
108639,Oak Meadows Elementary,92563
108647,Aspire Rosa Parks Academy,94606
108654,Summit High,93160
108662,Veterans Elementary,91913
108670,LPS Hayward,94612
108688,Academy of the Redwoods,95540
108696,Ramblewood Elementary,95121
108704,Oso Grande Elementary,92694
108720,Adreani (Arnold) Elementary,95829
108738,Castello (Helen Carr),95757
108746,Albiani (Katherine L.) Middle,95624
108753,Pleasant Grove High,95624
108761,Savage (Daniel J.) Middle,95350
108779,Tanner Elem,90723
108787,High Tech High Media Arts,92106
108795,Creative Connections Arts Aca,95660
108803,Aspire Millsmont Academy,94606
108811,Abraxis Charter,95405
108837,Community Collaborative Chart,95652
108860,Westlake Charter,95834
108878,CHAMPS - Charter HS of Arts-M,91405
108886,Gabriella Charter,90026
108894,Alliance Burton Tchnology Acad,90007
108902,Alliance Richard Merkin Middl,90007
108910,Celerity Nascent Charter,90047
108928,Larchmont Charter,90038
108936,Alliance Huntington Park Coll,90007
108944,Lighthouse Community 9-12,94621
108951,Arthur A. Benjamin Health Pro,95818
108977,Casa Blanca Community Day 9-12,93625
108993,Easton Community Day,93706
109009,Summit Charter Academy,93257
109033,King-Chavez Arts Academy,92102
109041,King-Chavez Athletics Academy,92102
109066,Orange County Ed Arts Academy,92701
109074,Hidahl (Joel J.) Elementary,95307
109082,Adkison (M. Robert),95307
109090,Sinclear Elementary,95307
109108,Citrus Hill High,92570
109116,Lasselle Elementary,92555
109124,Avalon Elementary,92571
109140,Canyon Oaks Elementary,94503
109157,Magnolia Science San Diego 1,92119
109173,Quail Run Elementary,94582
109223,Garza (Carmen Lomas) Primary,90023
109256,Mariposa-Nabi Primary,90006
109264,Lexington Avenue Primary Cent,90027
109280,Amanecer Primary Center,90023
109298,Hollywood Primary Center,90038
109314,Harvard Elementary,90004
109322,Pacific Boulevard,90255
109330,Ricardo Lizarraga,90011
109348,Aurora Elementary,90011
109355,Mack (John W.) Elementary,90007
109363,Maywood Elementary,90270
109371,Rosa Parks Learning Center,91343
109389,Panorama City Elementary,91402
109397,Maurice Sendak Elementary,91601
109405,Kingsley Elementary,90029
109413,Madison Elementary,90280
109421,Hope Street Elementary,90255
109439,Cesar Chavez Elementary,90032
109447,Santee Education Complex,90011
109454,South East High,90280
109462,Maywood Academy High,90270
109470,Magathan (Victoria) Elementary,92301
109488,Chavez Middle,92407
109496,Anton Elem,92404
109512,Cal Burke High,91402
109520,Mountain Vista,93016
109538,Marco Antonio Firebaugh High,90262
109553,CA Academy for Liberal Studie,90041
109595,Chavez (Cesar E.) Middle,95076
109652,Val Verde Student Success Aca,92571
109660,Aspire Antonio Maria Lugo Aca,94606
109678,Lakeview Elementary,92886
109694,Desmond (Jack G.) Middle,93638
109702,Nishimoto Elementary,93638
109728,Challenger Elementary Communi,93638
109751,Visalia Charter Independent S,93291
109769,Metropolitan Arts & Tech High,94124
109777,Klamath River Early College o,95548
109785,Bayshore Prep Charter,92078
109793,South Sutter Charter,95667
109819,Aspire Berkley Maynard Academy,94606
109827,Newcastle Charter,95658
109835,FAME Public Charter,94560
109843,Santa Rosa Academy,92584
109850,Public Safety Academy,92408
109876,Community Charter Early Colle,91502
109884,James Jordan Middle,91324
109900,Vista Real Charter High,93030
109918,Opportunities Unlimited,90037
109926,Academia Avance Charter,90042
109934,Our Community Charter,91311
109942,Los Angeles International Cha,90042
109975,Fuente Nueva Charter,95521
109983,World Academy,94621
109991,Crescent View West Charter,93534
110007,Ocean Grove Charter,95667
110023,Orr Creek,95482
110031,Elem. Community Day I,93514
110049,Phoenix Community Day,93514
110064,University Preparatory,92395
110072,Ishi Hills Middle,95966
110080,Apricot Valley Elementary,95363
110098,Anaverde Hills,93551
110106,Orange Grove High,92882
110114,Sycamore Ridge,92130
110122,Bonsall West Elementary,92057
110155,Lake Tahoe Environmental,96150
110189,McClymonds High,94607
110205,Lemoore Middle College High,93245
110221,Shasta Lake,96003
110239,Reach Academy,94603
110247,Manzanita SEED Elementary,94601
110254,Sankofa Academy,94609
110262,Rise Community,94621
110270,Clovis Community Day,93611
110288,Lewis Opportunity,95404
110296,Trona Community Day,93562
110304,LA Acad of Arts & Enterprise,90057
110320,Gene Drevno Community Day,90509
110338,Achieve Charter School of Par,95969
110395,Lincoln Community Day,93636
110403,Valley Teen Ranch Community D,93636
110452,Burton Community Day,93257
110460,Core Learning Academy,94544
110478,Alternative Learning Academy,94544
110486,Lange (Dorothea) Elementary,93444
110494,Bidwell Continuation High,94509
110502,Rancho Rosal Elementary,93012
110510,Golden Hills Elementary,95966
110528,Adams (J. Douglas) Middle,94513
110551,Nord Country,95973
110569,Judson & Brown Elementary,92374
110577,Railway Elementary,92570
110585,Sky View Elementary,92570
110593,James C. Enochs High,95355
110601,Evans Ranch Elementary,92584
110627,Eleanor Roosevelt High,92880
110635,River Heights Intermediate,92880
110643,Eastvale Elementary,92880
110668,Frida Kahlo High,90011
110684,Iron House Elementary,94561
110692,Sequoia Middle,93257
110700,Don Callejon,95051
110718,Vista Verde Elementary,92329
110726,Chaparral Elementary,91709
110734,La Rosa Elementary,95307
110759,John F. Kennedy High,92860
110767,Horizon Elementary,93307
110775,Stonecreek Junior High,93313
110783,Jones Elem,92410
110791,Ronald Reagan Elementary,92211
110833,River Springs Charter,92590
110858,Corcoran Academy,93212
110866,Sitting Bull Academy,92308
110940,Cottonwood Creek Elementary,93277
110957,Cesar Chavez,93638
110965,Madera South High,93637
110973,Richmond College Preparatory,94802
110981,Hamilton Elementary,93232
110999,Frontier High,93314
111005,Los Coches Creek Middle,92021
111021,Colonel Mitchell Paige,92253
111039,Academy for Change,95926
111047,Lopez Elementary,91766
111054,Cortez Elementary,91766
111070,Rowland Assistive Technology,91744
111088,Jack Franscioni Elementary,93960
111096,Tiefort View Intermediate,92398
111104,Barrett Ranch Elementary,95843
111112,Carroll Elementary,95757
111138,Heron,95835
111153,Reagan Elementary,93619
111161,Ca Virtual Academy @ Sutter,93065
111187,Monterey Ridge Elementary,92127
111195,Classical Academy High,92025
111203,Alder Grove Charter,95501
111211,New Heights Charter,90008
111237,Maryland Elementary,92084
111245,American Elementary,93312
111252,Mark Twain Elementary,92508
111278,Navigator Elementary,95670
111286,George Lincoln Mosher,95212
111294,Winfield Elementary,95388
111310,John Marshall Elementary,95206
111328,Maxine Hong Kingston,95207
111336,Pittman Charter,95202
111344,Wilhelmina Henry Elementary,95215
111351,John C. Fremont Elementary,95205
111369,Alexander Hamilton Elementary,95206
111377,Westpark Elementary,93650
111385,Twelve Bridges Middle,95648
111393,North Cottonwood,96022
111401,Fred T. Korematsu Elementary,95616
111419,Woodbridge,95242
111427,Feinstein (Dianne) Elementary,94116
111435,Marina High,93933
111443,Centennial Independent Study,93636
111468,San Elijo Elementary,92078
111476,Achieve Academy,94621
111484,New Village Charter High,90026
111492,Alliance College-Ready Acad#5,90007
111500,Alliance Dr. Olga Mohan High,90007
111518,Alliance Jack H. Skirball Mid,90007
111526,Nicolaysen Community Day,92027
111575,Animo Ralph Bunche High,90011
111583,Animo Jackie Robinson High,90007
111617,Animo Locke Technology High,90059
111625,Animo Watts Charter High,90061
111633,Valley Arts and Science Acade,93721
111641,Alliance William and Carol Ou,90007
111658,Alliance Marc & Eva Stern Mat,90007
111666,Early College High,92626
111674,Chrysalis Charter,96073
111682,Hume Lake Charter,93727
111690,University Charter Middle Sch,93010
111708,Union Street Charter,95521
111716,El Dorado COE Charter Communi,95667
111724,California Montessori Project,95608
111732,California Montessori EG,95608
111757,CA Montessori Capitol Campus,95826
111765,Ruby Bridges Elementary,94501
111773,Family Partnership Home Study,93454
111799,East Bay Arts High,94541
111807,Mojave River Academy,92395
111815,Stonebrae Elementary,94540
111831,Olympian High,91913
111849,Success & College Connection,95122
111856,American Indian Public High,94604
111864,Normal Heights Elementary,92116
111872,SOAR High (Students On Academ,93536
111880,Discovery Charter,95117
111898,Albert Einstein Acad Char Mid,92102
111906,King-Chavez Preparatory Acade,92102
111914,Arroyo Vista Middle,92688
111955,George De La Torre Jr.,90744
111971,Frank del Olmo Elementary,90004
111989,Charles H. Kim Elementary,90004
111997,Huntington Park Elementary,90255
112003,Wilshire Park Elementary,90010
112011,William Jefferson Clinton Mid,90007
112029,Miguel Contreras Learning,90017
112037,East Valley Sr. High,91601
112045,Arleta High,91331
112052,Panorama High,91402
112060,Hesby Oaks Leadership Charter,91436
112078,Clarksburg Middle,95612
112086,West Creek Elementary,92395
112094,Triple Crown Elementary,92571
112102,March Middle,92551
112128,Aspire Centennial College Pre,94606
112144,Jane Addams Middle,90260
112169,California Montessori Project,95608
112177,Monterey Bay Charter,93950
112185,La Vina Middle,93215
112193,Triumph Academy,91502
112201,Excel Charter Academy,90031
112227,Lou Dantzler Prep Middle,90056
112235,Los Feliz Charter,90065
112250,Century Academy for Excellence,90305
112276,Gold Rush Charter,95370
112284,CAVA@San Mateo,93065
112292,Aspire Summit Charter Academy,94606
112300,La Vida Charter,95482
112318,Enrique Camarena Jr. High,92231
112334,Garr Academy of Math and Entr,90062
112359,Sequoia Charter,91350
112367,William & Marian Ghidotti Hig,95945
112375,Los Angeles Education Corps,90007
112383,Paradise Charter,95358
112417,Ventura Charter School of Art,93002
112425,Natomas Pacific Pathways Prep,95834
112433,Frederick Douglass Middle,90056
112441,Pathways to College,92340
112458,Central California Connection,93277
112508,Bright Star Secondary Charter,90016
112524,Rio Vista Community Day,93240
112540,Lou Dantzler Preparatory Char,90056
112557,Frederick Douglass High,90056
112565,New Vision High,95336
112573,Adelante High,95367
112607,Envision Academy for Arts & T,94612
112615,Joe Stefani,95348
112623,Riverside Meadows Intermediat,95961
112631,Rio Del Mar,93036
112649,Coral Mountain Academy,92236
112656,Happy Valley Community Day,96007
112664,David A. Weir Elementary,94533
112672,Challenges Community Day,92311
112698,Ca Virtual Acad @ Kings,93065
