County.Code,County.Name,Test.Id,Test.Name,Grade,Students.Tested,Mean.Scale.Score,Count.Test.Grade,Pct.Test.Grade
11,Glenn,22,CST Earth Science,10,17,315.2,30649,0.000554667
11,Glenn,18,CST World History,10,395,317,422893,0.000934042
11,Glenn,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",10,391,347,451374,0.000866244
11,Glenn,18,CST World History,11,18,270.2,16163,0.001113655
11,Glenn,22,CST Earth Science,11,60,318.1,42331,0.001417401
11,Glenn,21,CST Chemistry,11,111,308.3,133804,0.000829572
11,Glenn,12,CST Integrated Math 2,11,22,309.1,3364,0.006539834
11,Glenn,20,CST Biology,11,87,345.4,99776,0.000871953
11,Glenn,23,CST Physics,11,20,338.3,56726,0.000352572
11,Glenn,10,CST Integrated Math 1,11,32,304.8,6318,0.005064894
11,Glenn,15,CST Summative High School Mathematics,11,76,295.2,124304,0.000611404
11,Glenn,11,CST Geometry,11,59,273.2,78308,0.000753435
11,Glenn,19,CST U.S. History,11,408,323.9,447386,0.000911964
11,Glenn,7,CST English-Language Arts,11,397,324.7,440115,0.000902037
11,Glenn,9,CST Algebra I,11,66,289.8,49868,0.001323494
11,Glenn,13,CST Algebra II,11,107,290.6,122079,0.000876482
11,Glenn,11,CST Geometry,13,336,305.2,407658,0.00082422
11,Glenn,13,CST Algebra II,13,211,311.1,286737,0.000735866
11,Glenn,9,CST Algebra I,13,673,311.9,711705,0.000945617
11,Glenn,28,CST General Mathematics,13,188,324.3,190615,0.000986281
11,Glenn,10,CST Integrated Math 1,13,66,291.9,13486,0.004893964
11,Glenn,20,CST Biology,13,497,339.6,556893,0.000892452
11,Glenn,15,CST Summative High School Mathematics,13,95,304,149987,0.000633388
11,Glenn,23,CST Physics,13,21,340.1,80833,0.000259795
11,Glenn,12,CST Integrated Math 2,13,24,318.3,5102,0.004704038
11,Glenn,21,CST Chemistry,13,168,319.3,275452,0.000609907
11,Glenn,22,CST Earth Science,13,261,325.3,206991,0.001260924
11,Glenn,18,CST World History,13,414,315.5,474255,0.000872948
12,Humboldt,7,CST English-Language Arts,2,1327,352.3,464896,0.002854402
12,Humboldt,8,CST Mathematics,2,1328,376.5,464515,0.002858896
12,Humboldt,8,CST Mathematics,3,1272,384.9,443961,0.002865117
12,Humboldt,7,CST English-Language Arts,3,1258,345.9,441572,0.002848913
12,Humboldt,7,CST English-Language Arts,4,1150,369.5,428906,0.00268124
12,Humboldt,8,CST Mathematics,4,1170,378.5,433012,0.002702004
12,Humboldt,8,CST Mathematics,5,1283,366.8,432775,0.002964589
12,Humboldt,7,CST English-Language Arts,5,1268,364.7,429498,0.002952284
12,Humboldt,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",5,1272,367.6,431142,0.002950304
12,Humboldt,7,CST English-Language Arts,6,1112,367.5,434374,0.002560006
12,Humboldt,8,CST Mathematics,6,1111,359.7,436563,0.002544879
12,Humboldt,8,CST Mathematics,7,1146,371.2,393811,0.002910025
12,Humboldt,7,CST English-Language Arts,7,1167,374.1,431187,0.002706482
12,Humboldt,9,CST Algebra I,7,17,402.1,37803,0.0004497
12,Humboldt,9,CST Algebra I,8,532,360.1,276039,0.001927264
12,Humboldt,7,CST English-Language Arts,8,1225,369.2,435491,0.002812917
12,Humboldt,29,CST History - Social Science Grade 8,8,1301,349.2,459125,0.002833651
12,Humboldt,28,CST General Mathematics,8,720,343.4,145549,0.004946788
